,Unnamed: 0,country,continent,year,happiness,democracy_score,index_of_functioning_goverment,code,population,women_in_parliament_%,daily_income_usd,income_inequlity
150,150,Benin,Africa,2006,33.3,61.6,64.3,BEN,8216893.0,9.94,2.56,40.3
151,151,Botswana,Africa,2006,47.4,76.0,78.6,BWA,1835911.0,9.84,9.91,62.3
153,153,Cameroon,Africa,2006,38.5,32.7,32.1,CMR,18223677.0,13.7,3.95,42.7
155,155,Madagascar,Africa,2006,39.8,58.2,57.1,MDG,18880265.0,6.97,1.84,40.4
161,161,Ghana,Africa,2006,45.4,53.5,46.4,GHA,22379057.0,9.39,4.64,42.7
164,164,Kenya,Africa,2006,42.2,50.8,42.9,KEN,37649039.0,8.93,3.26,45.9
165,165,Malawi,Africa,2006,38.3,49.7,50.0,MWI,12973693.0,17.1,1.84,41.7
168,168,Mali,Africa,2006,40.1,59.9,57.1,MLI,13203378.0,10.2,2.53,38.9
172,172,Mozambique,Africa,2006,45.9,52.8,57.1,MOZ,21080108.0,36.6,1.8,46.1
174,174,Niger,Africa,2006,37.4,35.4,11.4,NER,14143969.0,11.4,1.81,40.7
175,175,Nigeria,Africa,2006,47.1,35.2,18.6,NGA,142538305.0,6.37,2.31,41.5
176,176,Rwanda,Africa,2006,42.1,38.2,35.7,RWA,9043342.0,49.8,2.29,51.0
177,177,Senegal,Africa,2006,44.2,53.7,50.0,SEN,11382272.0,28.3,3.11,39.4
178,178,Sierra Leone,Africa,2006,36.3,35.7,22.1,SLE,5829240.0,13.7,1.85,37.8
180,180,South Africa,Africa,2006,50.8,79.1,78.6,ZAF,48489464.0,35.0,10.3,64.2
185,185,Kuwait,Asia,2006,60.8,30.9,41.4,KWT,2373661.0,1.54,84.3,34.6
187,187,Uganda,Africa,2006,37.3,51.4,39.3,UGA,28571475.0,27.6,2.63,43.3
188,188,Zambia,Africa,2006,48.2,52.5,46.4,ZMB,12173518.0,14.7,2.65,54.6
191,191,Zimbabwe,Africa,2006,38.3,26.2,7.9,ZWE,12155496.0,19.8,4.3,43.1
192,192,Togo,Africa,2006,32.0,17.5,7.9,TGO,5762881.0,8.93,2.49,42.2
195,195,India,Asia,2006,53.5,76.8,82.1,IND,1165486291.0,10.7,2.93,34.8
196,196,Indonesia,Asia,2006,49.5,64.1,71.4,IDN,229318262.0,14.7,3.5,34.3
200,200,Cambodia,Asia,2006,35.7,47.7,60.7,KHM,13477705.0,14.2,2.92,41.2
202,202,Israel,Asia,2006,71.7,72.8,66.4,ISR,7053700.0,14.2,28.7,41.4
204,204,Lebanon,Asia,2006,46.5,58.2,23.6,LBN,4759760.0,4.3,19.3,31.8
205,205,Malaysia,Asia,2006,60.1,59.8,57.1,MYS,26201954.0,25.7,17.2,44.8
208,208,Nepal,Asia,2006,45.7,34.2,35.7,NPL,26066687.0,17.0,3.26,38.7
211,211,Philippines,Asia,2006,46.7,64.8,53.6,PHL,87888675.0,20.2,5.59,47.2
214,214,Singapore,Asia,2006,64.6,58.9,75.0,SGP,4401365.0,21.2,47.1,41.8
215,215,Sri Lanka,Asia,2006,43.4,65.8,50.0,LKA,19695977.0,5.04,6.42,39.7
217,217,Tajikistan,Asia,2006,46.1,24.5,7.9,TJK,6922590.0,19.2,4.72,32.6
218,218,Kazakhstan,Asia,2006,54.8,36.2,21.4,KAZ,15308085.0,13.0,8.42,30.2
219,219,Tanzania,Africa,2006,39.2,51.8,39.3,TZA,39548666.0,31.6,2.06,39.8
220,220,Thailand,Asia,2006,58.9,56.7,64.3,THA,65812540.0,11.2,12.1,41.8
223,223,Vietnam,Asia,2006,52.9,27.5,42.9,VNM,84617545.0,26.1,4.11,35.8
226,226,Armenia,Europe,2006,42.9,41.5,32.1,ARM,2958301.0,8.53,6.12,29.7
227,227,Austria,Europe,2006,71.2,86.9,82.1,AUT,8268641.0,31.6,51.1,29.6
229,229,Belarus,Europe,2006,56.6,33.4,28.6,BLR,9604924.0,30.8,11.8,28.3
234,234,Cyprus,Europe,2006,62.4,76.0,67.9,CYP,1045508.0,14.3,48.2,31.1
237,237,Finland,Europe,2006,76.7,92.5,100.0,FIN,5266268.0,41.1,46.1,28.0
240,240,Estonia,Europe,2006,53.7,77.4,75.0,EST,1346810.0,21.8,21.8,33.7
241,241,France,Europe,2006,65.8,80.7,75.0,FRA,63621376.0,16.7,43.1,29.7
242,242,Georgia,Europe,2006,36.8,49.0,17.9,GEO,3880347.0,7.74,5.68,36.9
248,248,United Arab Emirates,Asia,2006,67.3,24.2,30.7,ARE,5300172.0,5.0,187.0,31.8
249,249,Lithuania,Europe,2006,59.5,74.3,64.3,LTU,3269909.0,19.1,18.2,34.4
252,252,Moldova,Europe,2006,51.0,65.0,42.9,MDA,2880095.0,23.1,8.14,35.4
255,255,Norway,Europe,2006,74.2,95.5,96.4,NOR,4660677.0,38.3,54.0,26.4
256,256,Latvia,Europe,2006,47.1,73.7,64.3,LVA,2218357.0,19.0,17.6,35.6
257,257,Uzbekistan,Asia,2006,52.3,18.5,7.9,UZB,26488250.0,17.3,2.49,35.0
259,259,Ireland,Europe,2006,71.4,90.1,89.3,IRL,4273591.0,15.0,50.8,32.7
260,260,Slovenia,Europe,2006,58.1,79.6,78.6,SVN,2006868.0,7.65,32.4,24.4
262,262,Switzerland,Europe,2006,74.7,90.2,92.9,CHE,7483934.0,26.8,65.6,33.9
263,263,Ukraine,Europe,2006,48.0,69.4,57.1,UKR,46787786.0,7.11,11.2,29.8
267,267,Costa Rica,North America,2006,70.8,80.4,82.1,CRI,4345421.0,38.6,17.1,49.4
268,268,Cuba,North America,2006,54.2,35.2,46.4,CUB,11261241.0,40.3,8.65,43.0
269,269,Dominican Republic,North America,2006,50.9,61.3,42.9,DOM,9218681.0,17.1,13.4,52.0
270,270,El Salvador,North America,2006,57.0,62.2,54.3,SLV,6079395.0,16.7,9.21,45.7
271,271,Guatemala,North America,2006,59.0,60.7,67.9,GTM,13213330.0,11.1,11.1,54.6
272,272,Haiti,North America,2006,37.5,41.9,36.4,HTI,9344784.0,13.6,2.92,60.1
273,273,Honduras,North America,2006,54.0,62.5,64.3,HND,7634295.0,22.1,8.49,57.5
274,274,Jamaica,North America,2006,62.1,73.4,71.4,JAM,2754414.0,13.6,12.6,45.3
277,277,Nicaragua,North America,2006,44.6,56.8,57.1,NIC,5513757.0,15.2,8.06,47.5
278,278,Portugal,Europe,2006,54.1,81.6,82.1,PRT,10522288.0,22.9,28.7,38.1
279,279,Trinidad and Tobago,North America,2006,58.3,71.8,67.9,TTO,1302552.0,31.8,25.1,41.0
280,280,Panama,North America,2006,61.3,73.5,71.4,PAN,3391673.0,13.6,14.5,54.6
282,282,New Zealand,Australia and Oceania,2006,73.1,90.1,85.7,NZL,4184600.0,32.7,41.2,32.5
283,283,Argentina,South America,2006,63.1,66.3,50.0,ARG,39289876.0,38.6,17.3,46.4
284,284,Bolivia,South America,2006,53.7,59.8,57.1,BOL,9395449.0,17.7,10.6,56.7
286,286,United States,North America,2006,71.8,82.2,78.6,USA,298379912.0,16.3,66.8,41.4
289,289,Paraguay,South America,2006,47.3,61.6,50.0,PRY,5913212.0,11.7,12.1,53.0
290,290,Peru,South America,2006,48.1,61.1,32.9,PER,28102055.0,29.2,9.16,50.3
292,292,Uruguay,South America,2006,57.9,79.6,82.1,URY,3325403.0,12.5,17.7,45.9
294,294,Ecuador,South America,2006,50.2,56.4,42.9,ECU,14059379.0,25.0,11.2,52.3
295,295,Colombia,South America,2006,60.2,64.0,43.6,COL,43200901.0,9.7,10.9,54.4
296,296,Cameroon,Africa,2007,43.5,33.6,37.5,CMR,18730283.0,14.3,3.93,42.8
309,309,Thailand,Asia,2007,57.8,62.4,66.1,THA,66182064.0,11.7,12.0,39.8
311,311,Ghana,Africa,2007,52.2,53.5,46.4,GHA,22963946.0,8.64,4.72,42.7
312,312,Niger,Africa,2007,42.8,34.8,11.4,NER,14685404.0,10.8,1.79,37.3
313,313,Kenya,Africa,2007,45.8,49.4,42.9,KEN,38705934.0,9.38,3.27,45.3
314,314,Tajikistan,Asia,2007,44.3,24.5,7.9,TJK,7062667.0,18.8,4.91,32.2
317,317,Malawi,Africa,2007,48.9,50.5,50.0,MWI,13341808.0,18.4,1.86,42.6
319,319,Mauritania,Africa,2007,41.5,35.1,42.9,MRT,3202512.0,17.0,5.46,36.8
323,323,Namibia,Africa,2007,48.9,65.1,46.8,NAM,2006516.0,25.6,7.64,61.7
325,325,Nigeria,Africa,2007,48.9,35.3,25.4,NGA,146339971.0,7.07,2.33,42.0
327,327,Senegal,Africa,2007,46.8,53.7,50.0,SEN,11687078.0,29.2,3.15,39.6
328,328,Sierra Leone,Africa,2007,35.9,38.4,18.6,SLE,5989641.0,13.6,1.98,37.0
329,329,Mozambique,Africa,2007,48.3,53.9,55.4,MOZ,21673319.0,37.4,1.86,45.8
331,331,South Africa,Africa,2007,52.0,79.1,78.6,ZAF,49119766.0,37.5,10.7,63.6
332,332,Mongolia,Asia,2007,46.1,66.0,60.7,MNG,2593819.0,5.26,7.99,35.8
336,336,Uganda,Africa,2007,44.6,50.9,39.3,UGA,29486335.0,24.1,2.78,43.6
337,337,Zambia,Africa,2007,40.0,52.5,46.4,ZMB,12502958.0,13.9,2.58,54.9
338,338,Zimbabwe,Africa,2007,32.8,25.8,7.9,ZWE,12255920.0,19.0,4.1,43.1
341,341,Tanzania,Africa,2007,43.2,52.3,39.3,TZA,40681416.0,32.8,2.22,40.3
343,343,Cambodia,Asia,2007,41.6,48.2,60.7,KHM,13679953.0,15.2,3.09,41.1
345,345,India,Asia,2007,50.3,77.4,82.1,IND,1183209471.0,10.8,3.01,35.0
346,346,Indonesia,Asia,2007,51.0,63.8,69.7,IDN,232374239.0,15.8,3.95,35.7
348,348,Turkey,Asia,2007,56.2,57.0,64.3,TUR,69581854.0,9.11,13.4,38.4
349,349,Israel,Asia,2007,68.4,73.8,70.7,ISR,7180100.0,15.3,30.1,41.1
350,350,Liberia,Africa,2007,37.0,52.4,14.7,LBR,3461911.0,12.7,1.72,36.5
352,352,Japan,Asia,2007,62.4,82.0,80.3,JPN,128001000.0,17.8,41.5,34.8
353,353,Kazakhstan,Asia,2007,57.2,35.4,21.4,KAZ,15484192.0,15.9,9.76,30.1
356,356,Malaysia,Asia,2007,62.4,61.7,58.9,MYS,26720367.0,27.7,17.7,45.1
358,358,Nepal,Asia,2007,47.5,37.4,39.3,NPL,26382586.0,17.3,3.36,37.1
360,360,Pakistan,Asia,2007,56.7,41.9,55.4,PAK,167808106.0,21.2,3.71,31.6
361,361,Philippines,Asia,2007,50.7,63.0,51.8,PHL,89405482.0,21.1,5.73,46.9
363,363,Saudi Arabia,Asia,2007,72.7,19.1,26.1,SAU,25184589.0,11.3,45.5,35.8
364,364,Singapore,Asia,2007,68.3,58.9,75.0,SGP,4588599.0,21.4,49.3,43.9
365,365,Sri Lanka,Asia,2007,44.1,66.0,48.2,LKA,19842044.0,5.11,6.52,38.4
369,369,Jordan,Asia,2007,56.0,39.3,35.0,JOR,6255290.0,8.48,10.1,33.2
373,373,Vietnam,Asia,2007,54.2,26.4,42.9,VNM,85419588.0,25.8,4.29,35.7
375,375,Albania,Europe,2007,46.3,59.1,50.7,ALB,2970017.0,11.8,8.15,30.2
