country,code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,1.9,1.8,1.8,1.7,1.7,1.8,1.9,1.9,1.9,1.9,1.9,2.0,2.0,2.1,2.1,2.0,2.0,1.8,1.6,1.5,1.3,1.2
Africa Eastern and Southern,AFE,5.5,5.5,5.4,5.4,5.3,5.3,5.3,5.2,5.2,5.1,5.0,5.0,4.9,4.8,4.7,4.7,4.6,4.6,4.5,4.5,4.4,4.4
Afghanistan,AFG,7.5,7.4,7.3,7.2,7.1,6.9,6.7,6.5,6.4,6.2,6.1,6.0,5.8,5.7,5.6,5.4,5.3,5.1,5.0,4.9,4.8,4.6
Africa Western and Central,AFW,6.0,6.0,6.0,5.9,5.9,5.9,5.8,5.8,5.8,5.7,5.7,5.6,5.6,5.5,5.4,5.4,5.3,5.3,5.2,5.1,5.0,5.0
Angola,AGO,6.6,6.6,6.6,6.5,6.5,6.5,6.4,6.4,6.3,6.3,6.2,6.1,6.0,6.0,5.9,5.8,5.7,5.6,5.5,5.4,5.4,5.3
Albania,ALB,2.2,2.2,2.0,2.0,1.9,1.8,1.7,1.7,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.5,1.4,1.4,1.4,1.4
Andorra,AND,,,,,,,1.2,1.2,1.3,1.2,1.3,,,,,,,,,,,
Arab World,ARB,3.9,3.8,3.7,3.7,3.6,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.3,3.3,3.2,3.2,3.1
United Arab Emirates,ARE,2.7,2.6,2.5,2.5,2.4,2.2,2.1,2.0,1.9,1.9,1.8,1.7,1.7,1.6,1.5,1.5,1.4,1.4,1.4,1.3,1.5,1.5
Argentina,ARG,2.6,2.5,2.5,2.5,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.0,2.0,1.9,1.9
Armenia,ARM,1.6,1.5,1.5,1.5,1.5,1.5,1.3,1.4,1.4,1.6,1.5,1.5,1.6,1.6,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.6
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,2.2,2.0,1.9,1.9,1.9,1.8,1.8,1.9,2.0,2.0,1.8,1.7,1.7,1.5,1.5,1.6,1.5,1.5,1.4,1.5,1.6,1.6
Australia,AUS,1.8,1.7,1.8,1.7,1.8,1.8,1.9,2.0,2.0,2.0,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.7
