,Airline Name,Value,Service
0,British Airways,2.4468085106382977,Seat Comfort
1,Emirates,2.96875,Seat Comfort
2,Jet2.com,3.139784946236559,Seat Comfort
3,TUI Airways,2.9027777777777777,Seat Comfort
4,easyJet,2.056179775280899,Seat Comfort
5,British Airways,2.765957446808511,Cabin Staff Service
6,Emirates,2.9263157894736844,Cabin Staff Service
7,Jet2.com,3.6451612903225805,Cabin Staff Service
8,TUI Airways,3.4583333333333335,Cabin Staff Service
9,easyJet,2.2954545454545454,Cabin Staff Service
10,British Airways,2.259259259259259,Food & Beverages
11,Emirates,2.9,Food & Beverages
12,Jet2.com,2.970149253731343,Food & Beverages
13,TUI Airways,2.875,Food & Beverages
14,easyJet,2.183673469387755,Food & Beverages
15,British Airways,2.0618556701030926,Ground Service
16,Emirates,2.63265306122449,Ground Service
17,Jet2.com,3.221052631578947,Ground Service
18,TUI Airways,2.643835616438356,Ground Service
19,easyJet,1.7473684210526317,Ground Service
20,British Airways,2.4745762711864407,Inflight Entertainment
21,Emirates,3.4,Inflight Entertainment
22,Jet2.com,1.1666666666666667,Inflight Entertainment
23,TUI Airways,2.5483870967741935,Inflight Entertainment
24,easyJet,1.032258064516129,Inflight Entertainment
25,British Airways,1.6956521739130435,Wifi & Connectivity
26,Emirates,1.9272727272727272,Wifi & Connectivity
27,Jet2.com,1.4782608695652173,Wifi & Connectivity
28,TUI Airways,1.3333333333333333,Wifi & Connectivity
29,easyJet,1.0625,Wifi & Connectivity
30,British Airways,1.81,Value For Money
31,Emirates,2.56,Value For Money
32,Jet2.com,3.27,Value For Money
33,TUI Airways,3.0547945205479454,Value For Money
34,easyJet,1.97,Value For Money
