,country,continent,year,happiness
0,Algeria,Africa,2005,
73,Turkey,Asia,2005,47.2
2,Benin,Africa,2005,
3,Botswana,Africa,2005,
4,Burundi,Africa,2005,
5,Cameroon,Africa,2005,
6,Central African Republic,Africa,2005,
16,Kenya,Africa,2005,
7,Chad,Africa,2005,
9,Djibouti,Africa,2005,
10,Egypt,Africa,2005,51.7
11,Ethiopia,Africa,2005,
12,Gabon,Africa,2005,
13,Gambia,Africa,2005,
14,Ghana,Africa,2005,
8,Comoros,Africa,2005,
18,Liberia,Africa,2005,
35,South Sudan,Africa,2005,
19,Libya,Africa,2005,
20,Madagascar,Africa,2005,
21,Malawi,Africa,2005,
22,Mali,Africa,2005,
23,Mauritania,Africa,2005,
24,Mauritius,Africa,2005,
25,Morocco,Africa,2005,
26,Mozambique,Africa,2005,
27,Namibia,Africa,2005,
28,Niger,Africa,2005,
29,Nigeria,Africa,2005,
30,Rwanda,Africa,2005,
31,Senegal,Africa,2005,
32,Sierra Leone,Africa,2005,
33,Somalia,Africa,2005,
34,South Africa,Africa,2005,
15,Guinea,Africa,2005,
36,Sudan,Africa,2005,
1,Angola,Africa,2005,
62,Nepal,Asia,2005,
39,Tunisia,Africa,2005,
40,Uganda,Africa,2005,
41,Zambia,Africa,2005,
42,Zimbabwe,Africa,2005,
54,Japan,Asia,2005,65.2
44,Bahrain,Asia,2005,
45,Bangladesh,Asia,2005,
43,Afghanistan,Asia,2005,
47,Cambodia,Asia,2005,
48,China,Asia,2005,
49,India,Asia,2005,
50,Indonesia,Asia,2005,
51,Iran,Asia,2005,53.1
52,Iraq,Asia,2005,
46,Bhutan,Asia,2005,
38,Togo,Africa,2005,
72,Thailand,Asia,2005,
53,Israel,Asia,2005,
55,Jordan,Asia,2005,62.9
58,Lebanon,Asia,2005,54.9
59,Malaysia,Asia,2005,
60,Maldives,Asia,2005,
61,Mongolia,Asia,2005,
37,Tanzania,Africa,2005,
63,Oman,Asia,2005,
56,Kazakhstan,Asia,2005,
64,Pakistan,Asia,2005,52.2
66,Qatar,Asia,2005,
67,Saudi Arabia,Asia,2005,70.8
68,Singapore,Asia,2005,
69,Sri Lanka,Asia,2005,
70,Syria,Asia,2005,
71,Tajikistan,Asia,2005,
65,Philippines,Asia,2005,
57,Kuwait,Asia,2005,
110,Portugal,Europe,2005,
17,Lesotho,Africa,2005,
130,Nicaragua,North America,2005,
77,Vietnam,Asia,2005,
78,Yemen,Asia,2005,
79,Albania,Europe,2005,
80,Armenia,Europe,2005,
81,Austria,Europe,2005,
82,Azerbaijan,Europe,2005,
83,Belarus,Europe,2005,
84,Belgium,Europe,2005,72.6
85,Bosnia and Herzegovina,Europe,2005,
86,Bulgaria,Europe,2005,
87,Croatia,Europe,2005,
88,Cyprus,Europe,2005,
89,Czech Republic,Europe,2005,64.4
90,Denmark,Europe,2005,80.2
109,Poland,Europe,2005,55.9
76,Uzbekistan,Asia,2005,
111,Romania,Europe,2005,50.5
91,Estonia,Europe,2005,
93,France,Europe,2005,70.9
74,Turkmenistan,Asia,2005,
