,Unnamed: 0,country,continent,year,happiness,democracy_score,index_of_functioning_goverment,code,population,women_in_parliament_%,daily_income_usd,income_inequlity
43,43,Bahrain,Asia,2005,,,,BHR,889157.0,,54.7,35.5
62,62,Oman,Asia,2005,,,,OMN,2511254.0,8.47,23.4,36.3
65,65,Qatar,Asia,2005,,,,QAT,865410.0,0.0,58.4,34.3
66,66,Saudi Arabia,Asia,2005,70.8,,,SAU,23816175.0,0.0,41.3,36.0
72,72,Kuwait,Asia,2005,,,,KWT,2270196.0,1.03,82.0,34.6
77,77,Yemen,Asia,2005,,,,,,0.44,4.9,34.7
137,137,United Arab Emirates,Asia,2005,,,,ARE,4588222.0,2.5,187.0,32.0
185,185,Kuwait,Asia,2006,60.8,30.9,41.4,KWT,2373661.0,1.54,84.3,34.6
190,190,Bahrain,Asia,2006,,35.3,25.7,BHR,958423.0,,54.0,35.5
209,209,Oman,Asia,2006,,27.7,30.7,OMN,2580753.0,8.79,24.0,36.2
212,212,Qatar,Asia,2006,,27.8,34.3,QAT,1022704.0,0.0,62.4,34.1
213,213,Saudi Arabia,Asia,2006,,19.2,23.6,SAU,24498313.0,5.67,43.5,35.8
224,224,Yemen,Asia,2006,,29.8,27.1,,,0.49,4.84,34.9
248,248,United Arab Emirates,Asia,2006,67.3,24.2,30.7,ARE,5300172.0,5.0,187.0,31.8
340,340,Bahrain,Asia,2007,,34.5,30.7,BHR,1035924.0,,54.1,35.5
354,354,Kuwait,Asia,2007,,32.4,42.1,KWT,2504026.0,2.31,84.7,34.6
359,359,Oman,Asia,2007,,28.8,33.2,OMN,2657162.0,9.09,24.4,36.2
362,362,Qatar,Asia,2007,,28.5,35.0,QAT,1218441.0,0.0,61.8,34.2
363,363,Saudi Arabia,Asia,2007,72.7,19.1,26.1,SAU,25184589.0,11.3,45.5,35.8
374,374,Yemen,Asia,2007,44.8,29.6,26.1,,,0.53,4.83,35.2
407,407,United Arab Emirates,Asia,2007,,25.1,35.0,ARE,6168846.0,5.0,180.0,32.1
495,495,Bahrain,Asia,2008,,33.8,35.7,BHR,1114645.0,,53.5,35.5
500,500,Kuwait,Asia,2008,,33.9,42.9,KWT,2656010.0,3.08,81.9,34.6
506,506,Oman,Asia,2008,,29.8,35.7,OMN,2750956.0,9.22,25.5,36.1
508,508,Qatar,Asia,2008,,29.2,35.7,QAT,1436670.0,0.0,61.6,34.2
509,509,Saudi Arabia,Asia,2008,68.1,19.0,28.6,SAU,25888535.0,17.0,49.7,35.6
521,521,Yemen,Asia,2008,,29.5,25.0,,,0.58,4.85,35.4
554,554,United Arab Emirates,Asia,2008,,26.0,39.3,ARE,7089486.0,5.0,175.0,32.3
629,629,Kuwait,Asia,2009,65.9,36.4,42.9,KWT,2821041.0,7.69,71.6,34.9
634,634,Bahrain,Asia,2009,57.0,34.4,35.7,BHR,1185075.0,,51.6,35.6
654,654,Oman,Asia,2009,,29.2,35.7,OMN,2876186.0,9.35,25.9,36.1
657,657,Qatar,Asia,2009,64.2,30.1,33.9,QAT,1654944.0,0.0,59.9,34.2
658,658,Saudi Arabia,Asia,2009,61.5,18.7,28.6,SAU,26630303.0,22.7,48.7,35.6
670,670,Yemen,Asia,2009,48.1,27.9,21.4,,,0.62,4.87,35.6
720,720,United Arab Emirates,Asia,2009,68.7,25.6,37.5,ARE,7917368.0,5.0,113.0,32.6
784,784,Bahrain,Asia,2010,59.4,34.9,35.7,BHR,1240864.0,,51.4,35.6
798,798,Kuwait,Asia,2010,68.0,38.8,42.9,KWT,2991884.0,5.61,65.9,35.1
803,803,Oman,Asia,2010,,28.6,35.7,OMN,3041435.0,9.47,24.9,36.1
806,806,Qatar,Asia,2010,68.5,30.9,32.1,QAT,1856329.0,0.0,63.9,34.1
807,807,Saudi Arabia,Asia,2010,63.1,18.4,28.6,SAU,27421468.0,22.0,48.3,35.6
816,816,United Arab Emirates,Asia,2010,71.0,25.2,35.7,ARE,8549998.0,5.0,76.1,32.7
819,819,Yemen,Asia,2010,43.5,26.4,17.9,,,0.66,5.08,35.8
930,930,Bahrain,Asia,2011,48.2,29.2,25.0,BHR,1278153.0,,50.9,35.6
944,944,Kuwait,Asia,2011,63.8,37.4,42.9,KWT,3168054.0,4.7,68.3,35.0
950,950,Oman,Asia,2011,68.5,32.6,39.3,OMN,3251102.0,9.58,23.9,36.2
953,953,Qatar,Asia,2011,65.9,31.8,39.3,QAT,2035862.0,0.0,66.0,34.0
954,954,Saudi Arabia,Asia,2011,67.0,17.7,28.6,SAU,28267591.0,21.3,51.5,35.5
964,964,Yemen,Asia,2011,37.5,25.7,3.6,,,0.7,4.25,36.0
1033,1033,United Arab Emirates,Asia,2011,71.2,25.8,35.7,ARE,8946778.0,5.0,80.6,32.6
1073,1073,Kuwait,Asia,2012,62.2,37.8,39.3,KWT,3348852.0,4.19,68.9,35.0
1078,1078,Bahrain,Asia,2012,50.3,25.3,25.0,BHR,1299942.0,,51.9,35.6
1098,1098,Oman,Asia,2012,,32.6,39.3,OMN,3498031.0,9.24,24.2,36.2
1101,1101,Qatar,Asia,2012,66.1,31.8,39.3,QAT,2196078.0,0.0,64.1,34.1
1102,1102,Saudi Arabia,Asia,2012,64.0,17.1,28.6,SAU,29154906.0,20.6,52.7,35.5
1114,1114,Yemen,Asia,2012,40.6,31.2,14.3,,,0.74,4.23,36.3
1163,1163,United Arab Emirates,Asia,2012,72.2,25.8,35.7,ARE,9141598.0,17.5,70.4,32.6
1221,1221,Kuwait,Asia,2013,64.8,37.8,39.3,KWT,3526382.0,80.0,66.1,35.1
1226,1226,Bahrain,Asia,2013,66.9,28.7,35.7,BHR,1315029.0,,54.1,35.5
1245,1245,Oman,Asia,2013,,32.6,39.3,OMN,3764805.0,8.9,23.7,36.3
1248,1248,Qatar,Asia,2013,,31.8,39.3,QAT,2336579.0,0.0,63.6,34.1
1249,1249,Saudi Arabia,Asia,2013,65.0,18.2,28.6,SAU,30052058.0,19.9,52.5,35.5
1261,1261,Yemen,Asia,2013,42.2,27.9,14.3,,,0.78,4.35,36.5
1330,1330,United Arab Emirates,Asia,2013,66.2,25.2,35.7,ARE,9197908.0,19.2,73.6,32.5
1372,1372,Bahrain,Asia,2014,61.7,28.7,35.7,BHR,1336073.0,,55.5,35.5
1387,1387,Oman,Asia,2014,,31.5,39.3,OMN,4027255.0,8.57,22.4,36.4
1395,1395,Qatar,Asia,2014,,31.8,39.3,QAT,2459202.0,1.85,63.6,34.1
1396,1396,Saudi Arabia,Asia,2014,62.8,18.2,28.6,SAU,30916603.0,19.9,52.9,35.5
1402,1402,Kuwait,Asia,2014,61.8,37.8,39.3,KWT,3690939.0,8.0,63.5,35.1
1422,1422,Yemen,Asia,2014,39.7,27.9,14.3,,,0.81,4.18,36.7
1459,1459,United Arab Emirates,Asia,2014,65.4,26.4,35.7,ARE,9214182.0,20.8,83.7,31.1
1522,1522,Bahrain,Asia,2015,60.1,27.9,32.1,BHR,1371853.0,,55.4,35.5
1537,1537,Kuwait,Asia,2015,61.5,38.5,42.9,KWT,3835588.0,3.4,61.5,35.2
1542,1542,Oman,Asia,2015,,30.4,39.3,OMN,4267341.0,8.24,22.2,36.4
1545,1545,Qatar,Asia,2015,63.7,31.8,39.3,QAT,2565708.0,3.6,63.9,34.1
1546,1546,Saudi Arabia,Asia,2015,63.5,19.3,28.6,SAU,31717676.0,19.9,53.7,35.4
1557,1557,Yemen,Asia,2015,29.8,22.4,3.6,,,0.85,2.93,36.7
