,country,continent,year,happiness
0,Algeria,Africa,2005,
1,Turkey,Asia,2005,47.2
2,Benin,Africa,2005,
3,Botswana,Africa,2005,
4,Burundi,Africa,2005,
5,Cameroon,Africa,2005,
6,Central African Republic,Africa,2005,
7,Kenya,Africa,2005,
8,Chad,Africa,2005,
9,Djibouti,Africa,2005,
10,Egypt,Africa,2005,51.7
11,Ethiopia,Africa,2005,
12,Gabon,Africa,2005,
13,Gambia,Africa,2005,
14,Ghana,Africa,2005,
15,Comoros,Africa,2005,
16,Liberia,Africa,2005,
17,South Sudan,Africa,2005,
18,Libya,Africa,2005,
19,Madagascar,Africa,2005,
20,Malawi,Africa,2005,
21,Mali,Africa,2005,
22,Mauritania,Africa,2005,
23,Mauritius,Africa,2005,
24,Morocco,Africa,2005,
25,Mozambique,Africa,2005,
26,Namibia,Africa,2005,
27,Niger,Africa,2005,
28,Nigeria,Africa,2005,
29,Rwanda,Africa,2005,
30,Senegal,Africa,2005,
31,Sierra Leone,Africa,2005,
32,Somalia,Africa,2005,
33,South Africa,Africa,2005,
34,Guinea,Africa,2005,
35,Sudan,Africa,2005,
36,Angola,Africa,2005,
37,Nepal,Asia,2005,
38,Tunisia,Africa,2005,
39,Uganda,Africa,2005,
40,Zambia,Africa,2005,
41,Zimbabwe,Africa,2005,
42,Japan,Asia,2005,65.2
43,Bahrain,Asia,2005,
44,Bangladesh,Asia,2005,
45,Afghanistan,Asia,2005,
46,Cambodia,Asia,2005,
47,China,Asia,2005,
48,India,Asia,2005,
49,Indonesia,Asia,2005,
50,Iran,Asia,2005,53.1
51,Iraq,Asia,2005,
52,Bhutan,Asia,2005,
53,Togo,Africa,2005,
54,Thailand,Asia,2005,
55,Israel,Asia,2005,
56,Jordan,Asia,2005,62.9
57,Lebanon,Asia,2005,54.9
58,Malaysia,Asia,2005,
59,Maldives,Asia,2005,
60,Mongolia,Asia,2005,
61,Tanzania,Africa,2005,
62,Oman,Asia,2005,
63,Kazakhstan,Asia,2005,
64,Pakistan,Asia,2005,52.2
65,Qatar,Asia,2005,
66,Saudi Arabia,Asia,2005,70.8
67,Singapore,Asia,2005,
68,Sri Lanka,Asia,2005,
69,Syria,Asia,2005,
70,Tajikistan,Asia,2005,
71,Philippines,Asia,2005,
72,Kuwait,Asia,2005,
73,Portugal,Europe,2005,
74,Lesotho,Africa,2005,
75,Nicaragua,North America,2005,
76,Vietnam,Asia,2005,
77,Yemen,Asia,2005,
