,Unnamed: 0,country,continent,year,happiness,democracy_score,index_of_functioning_goverment,code,population,women_in_parliament_%,daily_income_usd,income_inequlity
4,4,Burundi,Africa,2005,,,,BDI,7364857.0,31.7,1.49,34.4
6,6,Central African Republic,Africa,2005,,,,CAF,4038380.0,,2.12,57.2
15,15,Comoros,Africa,2005,,,,COM,611625.0,2.42,7.5,54.8
17,17,South Sudan,Africa,2005,,,,SSD,7535931.0,,2.65,46.7
29,29,Rwanda,Africa,2005,,,,RWA,8840220.0,47.1,2.19,52.0
45,45,Afghanistan,Asia,2005,,,,AFG,25654274.0,25.9,1.76,37.7
53,53,Togo,Africa,2005,,,,TGO,5611643.0,8.75,2.49,42.2
61,61,Tanzania,Africa,2005,,,,TZA,38450323.0,30.4,1.91,39.4
77,77,Yemen,Asia,2005,,,,,,0.44,4.9,34.7
89,89,Denmark,Europe,2005,80.2,,,DNK,5419432.0,36.9,48.0,25.2
98,98,Iceland,Europe,2005,,,,ISL,296734.0,31.8,48.6,29.0
107,107,Netherlands,Europe,2005,74.6,,,NLD,16319868.0,36.0,47.2,29.1
108,108,Norway,Europe,2005,,,,NOR,4623291.0,37.9,56.3,30.6
110,110,Finland,Europe,2005,,,,FIN,5246096.0,40.3,45.4,27.6
114,114,Sweden,Europe,2005,73.8,,,SWE,9029572.0,46.4,41.5,26.8
115,115,Switzerland,Europe,2005,,,,CHE,7437115.0,26.1,65.3,33.4
119,119,Canada,North America,2005,74.2,,,CAN,32243753.0,35.5,52.2,33.8
125,125,Haiti,North America,2005,,,,HTI,9195289.0,12.3,2.88,60.0
133,133,Australia,Australia and Oceania,2005,73.4,,,AUS,20394800.0,28.8,46.8,33.6
134,134,New Zealand,Australia and Oceania,2005,,,,NZL,4133900.0,32.2,40.5,32.9
148,148,Central African Republic,Africa,2006,,16.1,14.3,CAF,4118075.0,,1.41,56.9
152,152,Burundi,Africa,2006,,45.1,32.9,BDI,7607850.0,32.3,1.56,33.4
163,163,Comoros,Africa,2006,,39.0,32.1,COM,626427.0,1.82,7.28,53.6
166,166,South Sudan,Africa,2006,,,,SSD,7907407.0,,2.84,46.5
176,176,Rwanda,Africa,2006,42.1,38.2,35.7,RWA,9043342.0,49.8,2.29,51.0
189,189,Afghanistan,Asia,2006,,30.6,0.0,AFG,26433058.0,26.3,1.8,37.7
192,192,Togo,Africa,2006,32.0,17.5,7.9,TGO,5762881.0,8.93,2.49,42.2
219,219,Tanzania,Africa,2006,39.2,51.8,39.3,TZA,39548666.0,31.6,2.06,39.8
224,224,Yemen,Asia,2006,,29.8,27.1,,,0.49,4.84,34.9
236,236,Denmark,Europe,2006,,95.2,96.4,DNK,5437272.0,37.1,49.5,25.9
237,237,Finland,Europe,2006,76.7,92.5,100.0,FIN,5266268.0,41.1,46.1,28.0
246,246,Iceland,Europe,2006,,97.1,96.4,ISL,303782.0,32.2,55.7,30.3
254,254,Netherlands,Europe,2006,,96.6,92.9,NLD,16346101.0,36.7,50.1,30.0
255,255,Norway,Europe,2006,74.2,95.5,96.4,NOR,4660677.0,38.3,54.0,26.4
261,261,Sweden,Europe,2006,,98.8,100.0,SWE,9080505.0,47.3,43.9,26.4
262,262,Switzerland,Europe,2006,74.7,90.2,92.9,CHE,7483934.0,26.8,65.6,33.9
266,266,Canada,North America,2006,,90.7,96.4,CAN,32571174.0,26.6,53.8,33.8
272,272,Haiti,North America,2006,37.5,41.9,36.4,HTI,9344784.0,13.6,2.92,60.1
281,281,Australia,Australia and Oceania,2006,,90.9,89.3,AUS,20697900.0,29.2,48.4,34.2
282,282,New Zealand,Australia and Oceania,2006,73.1,90.1,85.7,NZL,4184600.0,32.7,41.2,32.5
301,301,Burundi,Africa,2007,,45.1,32.9,BDI,7862226.0,32.8,1.56,34.1
302,302,Central African Republic,Africa,2007,41.6,17.4,12.5,CAF,4198004.0,,2.38,56.5
304,304,Comoros,Africa,2007,,37.4,27.1,COM,641624.0,1.21,6.92,52.5
326,326,Rwanda,Africa,2007,,37.6,35.7,RWA,9273759.0,52.8,2.31,50.1
334,334,Togo,Africa,2007,,20.9,6.1,TGO,5920360.0,9.05,2.39,43.0
339,339,Afghanistan,Asia,2007,,30.4,3.95,AFG,27100542.0,26.6,1.99,37.7
341,341,Tanzania,Africa,2007,43.2,52.3,39.3,TZA,40681416.0,32.8,2.22,40.3
366,366,South Sudan,Africa,2007,,,,SSD,8315144.0,,3.09,46.4
374,374,Yemen,Asia,2007,44.8,29.6,26.1,,,0.53,4.83,35.2
379,379,Finland,Europe,2007,,92.5,100.0,FIN,5288720.0,41.8,47.8,28.3
395,395,Iceland,Europe,2007,,96.8,96.4,ISL,311566.0,32.5,58.8,29.5
398,398,Norway,Europe,2007,,96.2,96.4,NOR,4709153.0,38.8,59.7,27.1
403,403,Netherlands,Europe,2007,74.5,96.0,91.1,NLD,16381696.0,34.7,52.5,29.6
405,405,Denmark,Europe,2007,78.3,95.2,96.4,DNK,5461438.0,37.4,50.5,26.2
412,412,Sweden,Europe,2007,72.4,98.8,100.0,SWE,9148092.0,46.7,46.6,27.1
413,413,Switzerland,Europe,2007,,90.8,92.9,CHE,7551117.0,27.5,67.3,34.3
416,416,Canada,North America,2007,74.8,90.7,96.4,CAN,32889025.0,34.4,55.6,33.8
422,422,Haiti,North America,2007,,41.9,36.4,HTI,9495336.0,4.08,3.03,60.2
430,430,Australia,Australia and Oceania,2007,72.9,90.9,89.3,AUS,20827600.0,29.6,52.9,34.8
431,431,New Zealand,Australia and Oceania,2007,76.0,91.0,87.5,NZL,4223800.0,33.1,42.1,32.0
447,447,Burundi,Africa,2008,35.6,45.1,32.9,BDI,8126104.0,33.4,1.6,34.8
450,450,Central African Republic,Africa,2008,,18.6,10.7,CAF,4273368.0,,2.48,56.2
452,452,Comoros,Africa,2008,,35.8,22.1,COM,657227.0,0.61,6.79,51.4
472,472,Rwanda,Africa,2008,43.6,37.1,35.7,RWA,9524532.0,56.3,2.35,49.1
481,481,Togo,Africa,2008,28.1,24.3,4.3,TGO,6083417.0,9.49,2.41,43.7
486,486,Afghanistan,Asia,2008,37.2,30.2,7.9,AFG,27722281.0,26.9,2.02,37.7
496,496,Tanzania,Africa,2008,43.8,52.8,39.3,TZA,41853944.0,33.9,2.3,39.6
517,517,South Sudan,Africa,2008,,,,SSD,8736932.0,,3.1,46.4
521,521,Yemen,Asia,2008,,29.5,25.0,,,0.58,4.85,35.4
532,532,Denmark,Europe,2008,79.7,95.2,96.4,DNK,5493621.0,37.9,49.9,25.3
533,533,Finland,Europe,2008,76.7,92.5,100.0,FIN,5313399.0,41.9,48.3,27.8
541,541,Iceland,Europe,2008,68.9,96.5,96.4,ISL,317414.0,36.0,61.3,31.8
543,543,Norway,Europe,2008,76.3,96.8,96.4,NOR,4768212.0,39.2,61.9,27.0
550,550,Netherlands,Europe,2008,76.3,95.3,89.3,NLD,16445593.0,37.7,52.5,29.3
558,558,Sweden,Europe,2008,75.2,98.8,100.0,SWE,9219637.0,46.1,48.1,28.1
559,559,Switzerland,Europe,2008,,91.5,92.9,CHE,7647675.0,27.1,67.8,33.8
568,568,Haiti,North America,2008,38.5,41.9,36.4,HTI,9646570.0,4.72,3.06,60.3
573,573,Canada,North America,2008,74.9,90.7,96.4,CAN,33247118.0,25.3,56.3,33.8
577,577,Australia,Australia and Oceania,2008,72.5,90.9,89.3,AUS,21249200.0,29.5,55.6,35.4
578,578,New Zealand,Australia and Oceania,2008,73.8,91.9,89.3,NZL,4259800.0,33.6,41.3,33.3
597,597,Burundi,Africa,2009,37.9,42.6,32.9,BDI,8397661.0,34.0,1.62,35.5
599,599,Central African Republic,Africa,2009,,18.4,10.7,CAF,4337623.0,,2.65,56.7
601,601,Comoros,Africa,2009,34.8,35.0,22.1,COM,673251.0,0.0,6.6,50.4
611,611,South Sudan,Africa,2009,,,,SSD,9142258.0,,3.11,46.3
622,622,Rwanda,Africa,2009,40.3,34.8,41.0,RWA,9782770.0,53.8,2.37,48.1
636,636,Afghanistan,Asia,2009,44.0,27.5,7.9,AFG,28394806.0,27.3,2.4,37.7
646,646,Tanzania,Africa,2009,34.1,54.6,41.1,TZA,43073830.0,35.0,2.36,39.0
647,647,Togo,Africa,2009,,29.4,6.1,TGO,6250840.0,10.1,2.49,44.5
670,670,Yemen,Asia,2009,48.1,27.9,21.4,,,0.62,4.87,35.6
683,683,Finland,Europe,2009,,92.2,98.2,FIN,5338871.0,42.0,49.3,27.5
691,691,Iceland,Europe,2009,,96.5,96.4,ISL,318499.0,42.9,51.4,28.7
699,699,Netherlands,Europe,2009,,92.6,89.3,NLD,16530388.0,39.5,51.7,27.9
700,700,Norway,Europe,2009,,97.4,96.4,NOR,4828726.0,39.6,61.9,26.2
703,703,Denmark,Europe,2009,76.8,95.2,96.4,DNK,5523095.0,38.3,50.7,26.7
706,706,Sweden,Europe,2009,72.7,96.9,98.2,SWE,9298515.0,45.6,48.4,27.3
707,707,Switzerland,Europe,2009,75.2,91.2,92.9,CHE,7743831.0,26.7,67.5,32.9
711,711,Canada,North America,2009,74.9,90.8,94.7,CAN,33628895.0,35.0,55.9,33.7
717,717,Haiti,North America,2009,,41.0,27.5,HTI,9798046.0,6.9,3.42,60.4
725,725,Australia,Australia and Oceania,2009,,91.5,89.3,AUS,21691700.0,29.4,54.7,35.0
726,726,New Zealand,Australia and Oceania,2009,,92.3,91.1,NZL,4302600.0,33.1,40.8,32.9
740,740,Central African Republic,Africa,2010,35.7,18.2,10.7,CAF,4386765.0,,2.74,56.7
744,744,Burundi,Africa,2010,,40.1,32.9,BDI,8675606.0,34.7,1.66,36.3
755,755,Comoros,Africa,2010,38.1,34.1,22.1,COM,689696.0,0.51,6.45,49.3
770,770,Rwanda,Africa,2010,,32.5,46.4,RWA,10039338.0,49.2,2.4,47.2
779,779,Togo,Africa,2010,,34.5,7.9,TGO,6421674.0,10.8,2.55,45.2
783,783,Afghanistan,Asia,2010,47.6,24.8,7.9,AFG,29185511.0,27.6,2.67,37.7
787,787,Tanzania,Africa,2010,32.3,56.4,42.9,TZA,44346532.0,36.0,2.45,38.4
811,811,South Sudan,Africa,2010,,,,SSD,9508372.0,,3.26,46.0
819,819,Yemen,Asia,2010,43.5,26.4,17.9,,,0.66,5.08,35.8
838,838,Iceland,Europe,2010,,96.5,96.4,ISL,318041.0,42.1,45.6,26.2
846,846,Netherlands,Europe,2010,75.0,89.9,89.3,NLD,16615394.0,40.7,51.1,27.9
847,847,Norway,Europe,2010,,98.0,96.4,NOR,4889252.0,39.6,62.1,25.7
849,849,Denmark,Europe,2010,77.7,95.2,96.4,DNK,5547683.0,38.7,53.2,27.2
850,850,Finland,Europe,2010,73.9,91.9,96.4,FIN,5363352.0,42.2,50.0,27.7
856,856,Sweden,Europe,2010,75.0,95.0,96.4,SWE,9378126.0,45.0,49.2,27.7
857,857,Switzerland,Europe,2010,,90.9,92.9,CHE,7824909.0,26.3,67.7,32.5
860,860,Canada,North America,2010,76.5,90.8,92.9,CAN,34004889.0,35.0,56.9,33.6
866,866,Haiti,North America,2010,37.7,40.0,18.6,HTI,9949318.0,4.0,3.13,60.5
875,875,Australia,Australia and Oceania,2010,74.5,92.2,89.3,AUS,22031750.0,29.2,55.4,34.7
876,876,New Zealand,Australia and Oceania,2010,72.2,92.6,92.9,NZL,4350700.0,32.7,41.0,32.4
888,888,Burundi,Africa,2011,37.1,40.1,32.9,BDI,8958406.0,35.4,1.68,37.0
896,896,Comoros,Africa,2011,38.4,35.2,22.1,COM,706578.0,1.01,6.3,48.3
902,902,Central African Republic,Africa,2011,36.8,18.2,10.7,CAF,4418639.0,,2.84,56.7
916,916,Rwanda,Africa,2011,41.0,32.5,46.4,RWA,10293333.0,38.5,2.43,46.5
922,922,South Sudan,Africa,2011,,,,SSD,9830695.0,24.4,2.94,45.7
924,924,Tanzania,Africa,2011,40.7,56.4,42.9,TZA,45673520.0,36.1,2.57,37.8
929,929,Afghanistan,Asia,2011,38.3,24.8,7.9,AFG,30117411.0,27.4,2.6,37.7
932,932,Togo,Africa,2011,29.4,34.5,7.9,TGO,6595939.0,11.8,2.61,46.0
964,964,Yemen,Asia,2011,37.5,25.7,3.6,,,0.7,4.25,36.0
976,976,Denmark,Europe,2011,77.9,95.2,96.4,DNK,5570572.0,39.1,52.3,27.3
977,977,Finland,Europe,2011,73.5,90.6,96.4,FIN,5388272.0,42.5,50.3,27.6
987,987,Iceland,Europe,2011,,96.5,96.4,ISL,319014.0,41.3,45.6,26.8
