Macrotrends Data Download

World Unemployment Rate 1991-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Unemployment Rate (%), Annual Change, 
1991-12-31,4.8104
1992-12-31,4.9688,0.16
1993-12-31,5.2346,0.27
1994-12-31,5.4885,0.25
1995-12-31,5.6255,0.14
1996-12-31,5.7,0.07
1997-12-31,5.7001,0
1998-12-31,5.8509,0.15
1999-12-31,5.9623,0.11
2000-12-31,5.7633,-0.2
2001-12-31,5.8507,0.09
2002-12-31,6.071,0.22
2003-12-31,6.1626,0.09
2004-12-31,6.0013,-0.16
2005-12-31,5.8993,-0.1
2006-12-31,5.6345,-0.26
2007-12-31,5.4194,-0.22
2008-12-31,5.4117,-0.01
2009-12-31,6.0049,0.59
2010-12-31,5.9034,-0.1
2011-12-31,5.7664,-0.14
2012-12-31,5.7388,-0.03
2013-12-31,5.7298,-0.01
2014-12-31,5.6074,-0.12
2015-12-31,5.6273,0.02
2016-12-31,5.6645,0.04
2017-12-31,5.5641,-0.1
2018-12-31,5.3954,-0.17
2019-12-31,5.3604,-0.04
2020-12-31,6.5782,1.22
2021-12-31,6.1796,-0.4
